,value
0,26.346384670104406
1,154.47770718979666
2,207.17384556409309
3,230.58298921107195
4,18.05409386222655
5,-58.52671744757368
6,2131.9947227235643
7,745.9066313539745
8,-11.646807075522538
9,2496.7728633514475
10,910.2677021613856
11,-1169.315416856103
12,313.9546840413201
13,-826.9302100154385
